Taxon	Gene	T3s	C3s	A3s	G3s	CAI	CBI	Fop	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo
Dmel	FBpp0077627	0.1555	0.4665	0.1619	0.4745	0.256	0.355	0.581	44.30	0.744	0.577	566	587	-0.303748	0.076661
Dtak	DT10_00005224	0.2980	0.3341	0.2517	0.3522	0.224	0.071	0.396	57.79	0.549	0.526	541	563	-0.484369	0.060391
Dbia	DB10_00002676	0.2899	0.3483	0.2382	0.3662	0.235	0.110	0.423	59.42	0.570	0.533	546	569	-0.509666	0.052724
Dsuz	DS10_00004611	0.2899	0.3685	0.2455	0.3349	0.248	0.131	0.435	58.79	0.563	0.528	547	568	-0.544014	0.051056
Dmel	FBpp0079079	0.3178	0.3154	0.3118	0.3172	0.221	0.059	0.395	59.28	0.495	0.490	537	558	-0.626344	0.057348
Dbia	DB10_00009609	0.1128	0.4812	0.0464	0.5743	0.279	0.533	0.690	36.06	0.871	0.685	171	184	-0.463587	0.059783
Dsuz	DS10_00008172	0.1364	0.4470	0.1507	0.5000	0.261	0.372	0.588	44.56	0.765	0.623	170	182	-0.514835	0.065934
Dtak	DT10_00007457	0.2016	0.4031	0.1090	0.5263	0.207	0.344	0.577	42.91	0.754	0.615	175	187	-0.544385	0.064171
Dmel	FBpp0073382	0.2045	0.4167	0.1301	0.4718	0.246	0.341	0.565	44.86	0.726	0.615	168	180	-0.474444	0.044444
Dbia	DB10_00003304	0.1216	0.5682	0.0769	0.4837	0.266	0.523	0.701	37.94	0.836	0.607	451	466	-0.094206	0.111588
Dsuz	DS10_00000044	0.1832	0.5000	0.1025	0.4638	0.240	0.426	0.640	43.98	0.762	0.578	450	466	-0.086481	0.113734
Dtak	DT10_00009182	0.1571	0.5167	0.0952	0.4938	0.243	0.435	0.647	42.91	0.793	0.587	473	492	-0.138415	0.132114
Dmel	FBpp0087426	0.1617	0.5000	0.1101	0.4932	0.253	0.427	0.640	40.72	0.776	0.586	447	466	-0.131545	0.111588
Dsuz	DS10_00002076	0.2489	0.4249	0.1582	0.3946	0.301	0.293	0.540	42.78	0.659	0.572	261	270	-0.413333	0.092593
Dbia	DB10_00004949	0.2371	0.4526	0.1289	0.4121	0.253	0.351	0.577	38.93	0.692	0.578	260	270	-0.479630	0.092593
Dtak	DT10_00007995	0.2035	0.4762	0.1206	0.4301	0.291	0.369	0.586	39.55	0.728	0.594	261	270	-0.435926	0.092593
Dmel	FBpp0087157	0.2716	0.4009	0.1897	0.3716	0.265	0.239	0.506	43.68	0.617	0.547	261	270	-0.532593	0.092593
Dbia	DB10_00009572	0.1503	0.4913	0.1117	0.4620	0.273	0.431	0.619	41.27	0.781	0.610	210	216	-0.317130	0.050926
Dsuz	DS10_00006127	0.1966	0.4213	0.1808	0.4251	0.229	0.332	0.559	50.01	0.685	0.552	213	218	-0.364679	0.050459
Dtak	DT10_00000059	0.2099	0.4144	0.1500	0.4405	0.247	0.337	0.556	47.81	0.696	0.560	214	222	-0.265766	0.049550
Dmel	FBpp0070784	0.2698	0.3545	0.2210	0.3976	0.209	0.157	0.446	52.82	0.594	0.522	224	233	-0.266953	0.051502
Dsuz	DS10_00006762	0.2444	0.4364	0.2085	0.4306	0.247	0.224	0.514	53.48	0.651	0.551	613	637	-0.844427	0.076923
Dbia	DB10_00005026	0.2169	0.4699	0.1509	0.4812	0.255	0.305	0.565	48.38	0.715	0.571	614	638	-0.875078	0.076803
Dtak	DT10_00005737	0.2283	0.4747	0.1460	0.4575	0.253	0.320	0.573	46.23	0.708	0.576	613	636	-0.822484	0.077044
Dmel	FBpp0085747	0.2562	0.4256	0.2230	0.4194	0.249	0.199	0.500	55.16	0.632	0.543	606	634	-0.823028	0.077287
Dbia	DB10_00007269	0.0881	0.5762	0.0707	0.4804	0.300	0.513	0.677	36.48	0.864	0.616	464	485	0.267010	0.084536
Dsuz	DS10_00011465	0.0671	0.5860	0.0830	0.4980	0.313	0.516	0.679	36.48	0.874	0.598	374	394	0.441624	0.101523
Dmel	FBpp0078239	0.1095	0.5357	0.1066	0.4681	0.294	0.444	0.631	39.97	0.817	0.601	464	485	0.263711	0.084536
Dtak	DT10_00011542	0.0984	0.5561	0.0720	0.4901	0.303	0.508	0.674	36.30	0.854	0.618	487	508	0.216339	0.082677
Dmel	FBpp0070934	0.1918	0.4403	0.1673	0.4310	0.256	0.279	0.527	47.27	0.696	0.554	349	371	0.518329	0.126685
Dsuz	DS10_00008100	0.1770	0.4845	0.1259	0.4291	0.261	0.363	0.579	43.53	0.740	0.574	354	376	0.459308	0.117021
Dbia	DB10_00004572	0.0960	0.5913	0.0925	0.4263	0.305	0.538	0.693	37.00	0.839	0.611	355	377	0.454111	0.114058
Dtak	DT10_00004481	0.1139	0.5886	0.0655	0.4472	0.262	0.469	0.649	35.77	0.846	0.610	350	372	0.423118	0.115591
Dtak	DT10_00000738	0.2644	0.3933	0.1833	0.4487	0.234	0.225	0.500	51.54	0.651	0.543	1215	1243	-0.740547	0.051488
Dsuz	DS10_00001345	0.2081	0.4356	0.1517	0.4865	0.253	0.323	0.560	45.39	0.719	0.580	1067	1095	-0.848767	0.033790
Dbia	DB10_00006795	0.1325	0.5078	0.1068	0.5336	0.287	0.437	0.633	38.83	0.812	0.614	1069	1095	-0.842192	0.033790
Dmel	FBpp0078717	0.2163	0.4107	0.1971	0.4789	0.243	0.261	0.525	49.31	0.680	0.557	722	741	-0.904454	0.036437
Dmel	FBpp0072249	0.2187	0.4665	0.1840	0.4370	0.282	0.295	0.557	47.04	0.685	0.556	857	880	-0.737841	0.056818
Dbia	DB10_00003673	0.1728	0.4905	0.1426	0.5024	0.277	0.365	0.600	42.88	0.753	0.579	854	879	-0.726280	0.058020
Dsuz	DS10_00000264	0.1880	0.4728	0.1873	0.4651	0.271	0.319	0.572	46.46	0.707	0.558	851	874	-0.726545	0.058352
Dtak	DT10_00010692	0.1486	0.5382	0.1409	0.4863	0.285	0.399	0.622	40.53	0.774	0.582	872	897	-0.723300	0.060201
Dtak	DT10_00002840	0.3978	0.3118	0.4330	0.2473	0.236	-0.079	0.336	54.13	0.397	0.379	131	138	-0.985507	0.123188
Dbia	DB10_00008881	0.4211	0.3368	0.3548	0.2809	0.224	-0.005	0.385	60.02	0.438	0.408	130	138	-0.928261	0.130435
Dsuz	DS10_00003235	0.3871	0.3441	0.4167	0.2527	0.212	-0.049	0.359	51.62	0.420	0.391	131	138	-0.952899	0.130435
Dmel	FBpp0077630	0.3663	0.3663	0.3093	0.3333	0.237	0.052	0.415	46.64	0.504	0.434	135	139	-1.040288	0.122302
Dbia	DB10_00002474	0.1897	0.4957	0.1510	0.4709	0.269	0.368	0.598	45.37	0.730	0.540	570	602	-0.202658	0.107973
Dsuz	DS10_00003160	0.1897	0.4849	0.1716	0.4608	0.259	0.351	0.588	46.39	0.714	0.535	570	602	-0.202658	0.107973
Dtak	DT10_00004454	0.2004	0.4698	0.1510	0.4886	0.258	0.343	0.582	46.36	0.721	0.537	570	602	-0.199003	0.107973
Dmel	FBpp0080971	0.1987	0.4614	0.1991	0.4456	0.257	0.302	0.556	48.87	0.685	0.527	556	587	-0.240545	0.112436
Dbia	DB10_00010541	0.1413	0.5140	0.0997	0.4928	0.255	0.409	0.616	39.61	0.804	0.633	792	827	-0.791052	0.071342
Dsuz	DS10_00008680	0.1600	0.5145	0.1145	0.4583	0.257	0.395	0.605	42.43	0.777	0.616	891	931	-0.730075	0.076262
Dtak	DT10_00002167	0.1503	0.5087	0.0852	0.5036	0.237	0.394	0.607	41.31	0.808	0.628	704	732	-0.637842	0.077869
Dmel	FBpp0078461	0.2109	0.4384	0.1723	0.4382	0.211	0.271	0.530	48.89	0.693	0.586	538	563	-1.117584	0.060391
Dbia	DB10_00003976	0.2015	0.4595	0.1733	0.4124	0.222	0.298	0.548	46.96	0.694	0.562	480	492	-0.395122	0.087398
Dsuz	DS10_00006038	0.2239	0.4453	0.1804	0.3972	0.242	0.271	0.529	50.04	0.669	0.551	478	490	-0.387551	0.087755
Dtak	DT10_00003865	0.2071	0.4672	0.1478	0.4257	0.270	0.353	0.584	47.36	0.709	0.563	471	482	-0.353527	0.089212
Dmel	FBpp0072304	0.3123	0.3451	0.2615	0.3324	0.238	0.114	0.430	59.72	0.534	0.498	474	488	-0.386680	0.086066
Dbia	DB10_00004173	0.2986	0.3710	0.3137	0.3165	0.201	0.086	0.422	51.35	0.518	0.471	303	311	-0.643087	0.045016
Dsuz	DS10_00008710	0.3552	0.2166	0.4287	0.2177	0.210	-0.130	0.248	54.63	0.346	0.416	993	1005	-0.600995	0.057711
Dtak	DT10_00010935	0.2831	0.3836	0.2955	0.3306	0.188	0.120	0.439	52.88	0.541	0.477	305	311	-0.747267	0.041801
Dmel	FBpp0289668	0.2624	0.3982	0.3059	0.3237	0.218	0.134	0.447	55.08	0.550	0.488	302	309	-0.758253	0.045307
Dbia	DB10_00009703	0.2679	0.3444	0.2114	0.3768	0.179	0.128	0.421	54.84	0.594	0.568	451	457	-0.362582	0.080963
Dsuz	DS10_00005119	0.2397	0.3733	0.2218	0.3676	0.161	0.188	0.459	53.48	0.611	0.580	342	346	-0.583815	0.078035
Dtak	DT10_00010577	0.2432	0.3446	0.2175	0.4044	0.152	0.166	0.448	50.34	0.613	0.581	346	349	-0.556447	0.077364
Dmel	FBpp0070193	0.2143	0.3912	0.1835	0.4167	0.190	0.228	0.487	54.49	0.664	0.609	339	342	-0.568421	0.078947
Dbia	DB10_00010727	0.2537	0.3354	0.2265	0.4178	0.200	0.103	0.413	54.28	0.598	0.519	535	550	0.012727	0.098182
Dsuz	DS10_00004993	0.2857	0.3004	0.2428	0.4052	0.195	0.054	0.382	54.11	0.558	0.506	536	551	-0.013430	0.096189
Dtak	DT10_00005850	0.2733	0.3178	0.2367	0.4136	0.193	0.085	0.404	52.81	0.576	0.510	535	551	-0.042831	0.099819
Dmel	FBpp0070682	0.2712	0.3051	0.2408	0.4247	0.195	0.087	0.403	53.25	0.572	0.508	528	545	-0.020734	0.102752
Dbia	DB10_00000693	0.2014	0.4700	0.2068	0.4037	0.256	0.277	0.544	49.12	0.676	0.526	485	506	-0.051581	0.118577
Dsuz	DS10_00001582	0.2481	0.4152	0.2440	0.3791	0.228	0.167	0.475	55.15	0.610	0.496	459	480	-0.037292	0.118750
Dtak	DT10_00001238	0.2166	0.4761	0.2262	0.3506	0.254	0.226	0.510	52.88	0.647	0.513	459	479	0.004175	0.114823
Dmel	FBpp0076119	0.2437	0.4264	0.2219	0.3898	0.224	0.199	0.492	51.08	0.629	0.502	461	480	-0.034583	0.118750
Dbia	DB10_00010929	0.4928	0.2536	0.4064	0.1912	0.233	-0.191	0.266	55.17	0.326	0.370	334	345	-0.691594	0.107246
Dsuz	DS10_00006353	0.4334	0.2051	0.4581	0.1892	0.179	-0.209	0.227	50.51	0.298	0.354	1761	1807	-0.492917	0.079137
Dtak	DT10_00010950	0.4287	0.2112	0.4505	0.1882	0.175	-0.200	0.227	52.29	0.302	0.352	1750	1794	-0.409197	0.079153
Dmel	FBpp0302583	0.4305	0.2069	0.4837	0.1676	0.166	-0.235	0.212	51.55	0.283	0.343	1917	1965	-0.422952	0.084987
Dbia	DB10_00005195	0.1881	0.4770	0.1505	0.3933	0.240	0.335	0.560	43.75	0.715	0.610	1283	1316	-0.661854	0.050912
Dsuz	DS10_00005466	0.1945	0.4822	0.1556	0.3753	0.233	0.330	0.557	44.42	0.705	0.608	1265	1299	-0.702771	0.049269
Dtak	DT10_00005175	0.2039	0.4594	0.1529	0.3941	0.234	0.313	0.546	43.92	0.699	0.606	1250	1285	-0.694397	0.049805
Dmel	FBpp0304734	0.2194	0.4397	0.1807	0.3637	0.235	0.278	0.522	47.50	0.662	0.596	1326	1363	-0.694424	0.046955
Dsuz	DS10_00002075	0.2644	0.4007	0.2861	0.3607	0.286	0.151	0.468	51.97	0.573	0.509	1634	1686	-0.813938	0.048636
Dbia	DB10_00004948	0.2531	0.3934	0.2588	0.3947	0.281	0.170	0.476	51.05	0.599	0.526	1585	1630	-0.837055	0.049080
Dtak	DT10_00007996	0.2268	0.4339	0.2585	0.3922	0.295	0.201	0.498	49.24	0.623	0.533	1712	1765	-0.863286	0.049858
Dmel	FBpp0087147	0.2741	0.3884	0.2302	0.3864	0.252	0.166	0.471	54.71	0.600	0.533	1085	1125	-0.695822	0.077333
Dbia	DB10_00008884	0.1639	0.4630	0.1406	0.4889	0.272	0.368	0.590	44.09	0.753	0.589	1731	1792	-0.370033	0.055246
Dtak	DT10_00002845	0.1924	0.4375	0.1713	0.4396	0.275	0.281	0.533	45.82	0.703	0.594	767	784	-0.450128	0.049745
Dsuz	DS10_00003240	0.2110	0.4316	0.1669	0.4351	0.275	0.288	0.538	47.71	0.693	0.590	784	802	-0.490649	0.047382
Dmel	FBpp0099391	0.1346	0.4860	0.1500	0.4739	0.274	0.376	0.595	41.99	0.767	0.615	765	783	-0.478927	0.049808
Dbia	DB10_00001867	0.1047	0.6279	0.0773	0.4220	0.295	0.586	0.732	32.98	0.849	0.617	299	314	-0.203185	0.076433
Dsuz	DS10_00008724	0.1473	0.5853	0.1073	0.3881	0.277	0.502	0.679	35.81	0.789	0.598	299	314	-0.204140	0.076433
Dtak	DT10_00010158	0.1483	0.5551	0.1193	0.3991	0.264	0.458	0.649	39.26	0.777	0.592	305	323	-0.223220	0.071207
Dmel	FBpp0082023	0.1915	0.5404	0.1196	0.3846	0.275	0.464	0.654	38.69	0.743	0.575	272	286	-0.265734	0.083916
Dbia	DB10_00009702	0.2000	0.4500	0.1442	0.4213	0.215	0.311	0.539	48.73	0.711	0.603	256	263	-0.233840	0.072243
Dsuz	DS10_00005118	0.1773	0.4773	0.1244	0.4394	0.224	0.324	0.549	44.16	0.747	0.615	257	265	-0.252453	0.067925
Dtak	DT10_00010576	0.2568	0.3739	0.2000	0.3900	0.203	0.195	0.462	56.43	0.619	0.559	260	270	-0.316296	0.066667
Dmel	FBpp0070192	0.2262	0.4118	0.1907	0.3941	0.214	0.281	0.519	47.95	0.653	0.579	262	270	-0.292963	0.066667
Dbia	DB10_00010928	0.4189	0.2703	0.3429	0.3043	0.297	-0.048	0.354	50.34	0.427	0.452	96	98	-0.521429	0.071429
Dsuz	DS10_00006354	0.4730	0.2297	0.3571	0.2794	0.224	-0.213	0.250	43.64	0.375	0.425	96	98	-0.583673	0.071429
Dtak	DT10_00011931	0.4813	0.2250	0.3669	0.2419	0.211	-0.230	0.232	47.14	0.340	0.387	194	198	-0.140404	0.101010
Dmel	FBpp0088221	0.4622	0.2437	0.3810	0.2143	0.240	-0.118	0.297	45.88	0.345	0.426	145	148	-0.225676	0.087838
Dbia	DB10_00010041	0.1416	0.4897	0.0890	0.6159	0.274	0.429	0.641	37.82	0.821	0.604	429	445	-0.721573	0.062921
Dmel	FBpp0071136	0.2071	0.4251	0.1322	0.5525	0.246	0.296	0.554	42.15	0.733	0.587	457	475	-0.673895	0.058947
Dsuz	DS10_00007191	0.2032	0.4305	0.1547	0.5231	0.237	0.312	0.564	45.15	0.718	0.580	461	477	-0.675052	0.060797
Dtak	DT10_00009168	0.1509	0.4582	0.0983	0.6118	0.257	0.389	0.613	37.33	0.803	0.618	457	473	-0.679704	0.059197
Dmel	FBpp0085227	0.2238	0.4545	0.1748	0.4848	0.255	0.328	0.581	49.52	0.694	0.537	186	200	-0.531000	0.090000
Dbia	DB10_00010895	0.1469	0.5455	0.0890	0.5373	0.265	0.382	0.609	44.58	0.815	0.584	184	197	-0.429442	0.086294
Dsuz	DS10_00006875	0.1958	0.5315	0.1781	0.4254	0.309	0.336	0.583	49.05	0.711	0.539	187	199	-0.479397	0.090452
Dtak	DT10_00001953	0.1370	0.5411	0.1544	0.4676	0.288	0.391	0.615	42.32	0.770	0.583	187	199	-0.594975	0.090452
Dbia	DB10_00000851	0.1008	0.5177	0.0933	0.5245	0.233	0.421	0.623	37.08	0.840	0.635	430	449	-0.338085	0.082405
Dsuz	DS10_00010337	0.1511	0.4863	0.1257	0.4730	0.213	0.342	0.570	42.02	0.771	0.595	423	444	-0.321171	0.081081
Dtak	DT10_00002480	0.2028	0.4222	0.1946	0.4231	0.188	0.206	0.481	50.70	0.673	0.555	422	443	-0.318284	0.085779
Dmel	FBpp0073166	0.2029	0.4457	0.1754	0.4243	0.237	0.251	0.513	50.18	0.690	0.558	413	434	-0.353226	0.082949
Dbia	DB10_00010062	0.0145	0.6159	0.0129	0.5903	0.323	0.633	0.762	28.56	0.977	0.699	311	321	-0.267913	0.130841
Dsuz	DS10_00006929	0.1099	0.5641	0.0524	0.5273	0.325	0.518	0.689	36.81	0.865	0.635	312	323	-0.288545	0.136223
Dtak	DT10_00009060	0.0709	0.6194	0.0519	0.5090	0.300	0.536	0.700	33.37	0.900	0.645	310	320	-0.299688	0.131250
Dmel	FBpp0070606	0.1685	0.4725	0.1096	0.5182	0.298	0.379	0.602	42.27	0.774	0.599	314	325	-0.332308	0.135385
Dbia	DB10_00004502	0.0836	0.5449	0.0435	0.5839	0.278	0.533	0.697	34.76	0.896	0.654	383	395	-0.242025	0.093671
Dsuz	DS10_00004337	0.1730	0.4623	0.1182	0.5144	0.239	0.390	0.605	43.37	0.763	0.593	380	391	-0.246036	0.094629
Dtak	DT10_00006952	0.1610	0.4861	0.0805	0.5338	0.244	0.438	0.637	39.87	0.802	0.612	383	393	-0.245038	0.096692
Dmel	FBpp0070102	0.3138	0.3379	0.2700	0.3534	0.196	0.083	0.414	58.33	0.534	0.488	348	358	-0.389106	0.100559
Dsuz	DS10_00011905	0.3729	0.3085	0.3320	0.2705	0.188	-0.039	0.340	55.89	0.445	0.447	353	371	-0.465768	0.123989
Dtak	DT10_00011258	0.3355	0.2961	0.3143	0.3731	0.211	0.020	0.389	54.70	0.500	0.461	190	198	-0.671212	0.101010
Dbia	DB10_00011297	0.4046	0.2939	0.3090	0.2973	0.208	-0.076	0.324	57.08	0.445	0.431	321	341	-0.546041	0.129032
Dmel	FBpp0087807	0.2194	0.4107	0.1903	0.4510	0.233	0.216	0.493	51.47	0.670	0.527	367	382	-0.428272	0.115183
Dsuz	DS10_00006760	0.2018	0.6239	0.0351	0.4476	0.348	0.706	0.816	30.45	0.816	0.577	141	148	-0.641892	0.067568
Dbia	DB10_00005024	0.1468	0.6697	0.0439	0.4476	0.343	0.740	0.837	29.28	0.851	0.588	141	148	-0.641892	0.067568
Dtak	DT10_00005739	0.1835	0.6514	0.0435	0.4245	0.327	0.707	0.816	32.32	0.823	0.581	141	148	-0.595946	0.067568
Dmel	FBpp0086269	0.1927	0.5963	0.0702	0.4476	0.340	0.661	0.787	31.93	0.794	0.570	141	148	-0.641892	0.067568
Dbia	DB10_00001860	0.2151	0.4157	0.1885	0.4347	0.260	0.275	0.526	50.46	0.672	0.563	861	888	-0.248536	0.061937
Dsuz	DS10_00011602	0.2278	0.4151	0.1759	0.4420	0.249	0.257	0.516	50.96	0.674	0.558	1306	1352	-0.227071	0.061391
Dtak	DT10_00010166	0.1889	0.4394	0.1644	0.4553	0.253	0.320	0.555	47.44	0.711	0.586	1228	1271	-0.227852	0.062156
Dmel	FBpp0082093	0.2689	0.3547	0.2225	0.4081	0.229	0.167	0.455	55.60	0.601	0.529	860	886	-0.227314	0.064334
Dbia	DB10_00002623	0.1534	0.5455	0.1460	0.4200	0.274	0.376	0.601	44.71	0.759	0.576	419	440	-0.251136	0.086364
Dsuz	DS10_00007407	0.1915	0.5014	0.1858	0.3800	0.247	0.299	0.552	48.22	0.695	0.556	420	441	-0.236054	0.086168
Dtak	DT10_00008961	0.2080	0.4929	0.1847	0.3788	0.263	0.310	0.561	47.96	0.684	0.552	415	435	-0.258391	0.087356
Dmel	FBpp0079685	0.1631	0.5255	0.1664	0.3875	0.246	0.354	0.584	43.89	0.732	0.599	706	729	-0.211248	0.068587
Dbia	DB10_00000208	0.1451	0.6712	0.0226	0.5359	0.386	0.732	0.835	28.37	0.875	0.573	695	718	-0.652507	0.077994
Dsuz	DS10_00009222	0.1663	0.6499	0.0301	0.5277	0.391	0.706	0.819	28.86	0.853	0.565	695	718	-0.652786	0.077994
Dtak	DT10_00004955	0.1393	0.6441	0.0281	0.5612	0.375	0.680	0.803	29.39	0.875	0.575	695	718	-0.645404	0.076602
Dmel	FBpp0072904	0.2108	0.6015	0.0434	0.5133	0.391	0.637	0.776	32.21	0.810	0.554	693	717	-0.641701	0.078103
Dbia	DB10_00009705	0.2059	0.4399	0.2025	0.4249	0.238	0.258	0.522	50.93	0.674	0.574	786	794	-0.977960	0.060453
Dsuz	DS10_00005121	0.2408	0.3896	0.2444	0.3987	0.223	0.183	0.472	53.57	0.613	0.548	771	776	-1.043686	0.057990
Dtak	DT10_00010799	0.2749	0.3424	0.3151	0.3415	0.203	0.059	0.393	55.89	0.530	0.515	794	801	-0.972160	0.061174
Dmel	FBpp0070195	0.2289	0.4079	0.2492	0.3883	0.215	0.163	0.459	56.11	0.619	0.545	748	756	-1.006746	0.064815
Dbia	DB10_00010721	0.2364	0.3909	0.2121	0.4000	0.170	0.202	0.476	47.00	0.627	0.579	126	133	-0.649624	0.067669
Dsuz	DS10_00004987	0.2276	0.4390	0.2202	0.3571	0.155	0.192	0.475	53.90	0.631	0.558	141	147	-0.682993	0.061224
Dtak	DT10_00005855	0.2366	0.4516	0.1647	0.4156	0.193	0.287	0.536	45.32	0.673	0.578	110	116	-0.636207	0.060345
Dmel	FBpp0288876	0.3173	0.3462	0.2386	0.3750	0.238	0.088	0.417	54.30	0.550	0.518	120	128	-0.717969	0.054688
Dmel	FBpp0073140	0.2454	0.3945	0.1900	0.4257	0.258	0.261	0.523	49.31	0.646	0.555	528	548	-0.151095	0.080292
Dbia	DB10_00000046	0.2396	0.4424	0.1710	0.4051	0.285	0.318	0.561	47.42	0.667	0.561	528	548	-0.176095	0.082117
Dsuz	DS10_00011768	0.3057	0.3747	0.1929	0.3842	0.270	0.228	0.502	50.92	0.595	0.532	528	548	-0.197263	0.080292
Dtak	DT10_00010512	0.2759	0.4023	0.1896	0.3835	0.257	0.219	0.496	50.76	0.621	0.545	528	548	-0.183577	0.080292
Dbia	DB10_00011393	0.3966	0.2363	0.4185	0.2222	0.211	-0.134	0.271	56.40	0.351	0.413	291	301	-0.355150	0.076412
Dsuz	DS10_00011256	0.3840	0.2574	0.3789	0.2548	0.218	-0.109	0.289	61.00	0.392	0.426	291	301	-0.361130	0.076412
Dtak	DT10_00012046	0.4304	0.2110	0.4211	0.2136	0.223	-0.185	0.240	57.61	0.322	0.399	292	301	-0.350166	0.076412
Dmel	FBpp0085430	0.4142	0.2050	0.4518	0.2029	0.212	-0.172	0.246	49.27	0.311	0.391	293	301	-0.358140	0.076412
Dtak	DT10_00008238	0.2249	0.3994	0.1683	0.4346	0.189	0.257	0.510	49.23	0.668	0.521	386	407	0.350123	0.113022
Dbia	DB10_00003872	0.1463	0.4716	0.1382	0.4748	0.195	0.362	0.577	44.40	0.761	0.557	381	404	0.363862	0.106436
Dsuz	DS10_00000772	0.2086	0.4470	0.1636	0.4160	0.202	0.293	0.533	46.64	0.689	0.514	347	367	0.310899	0.119891
Dmel	FBpp0071718	0.2199	0.3666	0.1753	0.4698	0.173	0.216	0.484	50.25	0.666	0.527	386	404	0.360891	0.116337
Dbia	DB10_00003971	0.0812	0.5939	0.0854	0.5444	0.262	0.574	0.730	33.91	0.867	0.602	248	263	-0.436502	0.091255
Dsuz	DS10_00006043	0.0964	0.5584	0.0808	0.5722	0.270	0.529	0.702	36.25	0.859	0.601	248	263	-0.477567	0.095057
Dtak	DT10_00003871	0.1221	0.5493	0.0654	0.5561	0.236	0.517	0.692	38.05	0.850	0.605	266	281	-0.451601	0.088968
Dmel	FBpp0072302	0.1818	0.4444	0.2576	0.4101	0.209	0.277	0.540	51.47	0.649	0.525	248	263	-0.317871	0.091255
Dbia	DB10_00004174	0.2000	0.4943	0.2070	0.3735	0.258	0.276	0.533	49.18	0.676	0.545	435	452	-0.712611	0.066372
Dsuz	DS10_00008707	0.2428	0.4728	0.2039	0.3552	0.245	0.221	0.497	50.20	0.644	0.535	390	404	-0.796040	0.054455
Dtak	DT10_00010622	0.2279	0.4615	0.1948	0.3889	0.246	0.250	0.517	49.64	0.662	0.542	435	457	-0.744201	0.067834
Dmel	FBpp0084634	0.1895	0.4839	0.2124	0.3734	0.231	0.276	0.532	50.46	0.673	0.557	312	320	-0.840937	0.050000
Dbia	DB10_00009704	0.1990	0.4515	0.1477	0.5430	0.294	0.321	0.575	47.04	0.740	0.594	584	590	-1.108305	0.077966
Dsuz	DS10_00005120	0.2587	0.4266	0.1498	0.5121	0.298	0.285	0.554	49.16	0.696	0.583	598	606	-1.152475	0.075908
Dtak	DT10_00010578	0.2100	0.4475	0.2126	0.4614	0.273	0.267	0.539	50.13	0.677	0.573	564	570	-1.076667	0.073684
Dmel	FBpp0070194	0.2377	0.4240	0.2101	0.4516	0.265	0.229	0.512	52.74	0.657	0.564	562	569	-1.065026	0.073814
Dbia	DB10_00009847	0.3944	0.2465	0.3802	0.2909	0.139	-0.107	0.302	56.37	0.396	0.421	169	178	-0.200562	0.084270
Dsuz	DS10_00010200	0.4711	0.2645	0.4141	0.1978	0.194	-0.133	0.304	55.52	0.338	0.403	148	154	-0.570779	0.103896
Dtak	DT10_00009986	0.4459	0.2027	0.4286	0.2727	0.194	-0.145	0.278	43.99	0.333	0.371	90	97	-0.043299	0.082474
Dmel	FBpp0293507	0.4156	0.2468	0.3710	0.3462	0.202	-0.117	0.315	61.00	0.402	0.375	92	97	0.098969	0.082474
Dbia	DB10_00011143	0.2729	0.4133	0.1588	0.4076	0.237	0.239	0.511	52.10	0.645	0.541	595	619	-0.381099	0.096931
Dsuz	DS10_00012157	0.2314	0.4451	0.1471	0.4365	0.253	0.303	0.554	50.10	0.691	0.558	592	618	-0.414563	0.092233
Dtak	DT10_00011683	0.2466	0.4403	0.1521	0.4127	0.267	0.299	0.549	50.09	0.673	0.559	594	619	-0.410501	0.093700
Dmel	FBpp0078854	0.1843	0.5039	0.1295	0.4397	0.285	0.372	0.597	44.89	0.745	0.582	595	619	-0.411309	0.093700
Dbia	DB10_00005762	0.2397	0.4331	0.2106	0.3713	0.226	0.226	0.499	51.31	0.636	0.557	1150	1183	-0.483347	0.071006
Dsuz	DS10_00006628	0.2915	0.3771	0.2674	0.3173	0.219	0.120	0.431	55.76	0.548	0.524	1184	1218	-0.475698	0.073071
Dtak	DT10_00003399	0.2711	0.3839	0.2521	0.3540	0.222	0.120	0.432	55.33	0.579	0.530	1095	1126	-0.513588	0.076377
Dmel	FBpp0111901	0.3005	0.3659	0.2809	0.3073	0.211	0.085	0.408	57.25	0.531	0.510	1212	1250	-0.462000	0.076800
Dmel	FBpp0080150	0.3131	0.3232	0.3402	0.3370	0.213	0.048	0.396	54.37	0.493	0.473	379	394	-0.506599	0.096447
Dbia	DB10_00005524	0.2678	0.3864	0.2896	0.3521	0.225	0.148	0.456	55.35	0.565	0.500	379	394	-0.498477	0.096447
Dsuz	DS10_00003900	0.2867	0.3700	0.3140	0.3273	0.212	0.087	0.417	56.01	0.530	0.489	379	394	-0.480711	0.096447
Dtak	DT10_00004738	0.3207	0.3172	0.3401	0.3393	0.229	0.074	0.415	54.08	0.491	0.468	381	395	-0.611899	0.098734
Dsuz	DS10_00004053	0.3425	0.2748	0.3210	0.3341	0.235	-0.021	0.349	57.62	0.467	0.464	582	601	-0.359900	0.063228
Dmel	FBpp0070286	0.3233	0.3213	0.2833	0.3515	0.258	0.071	0.408	58.18	0.515	0.481	612	632	-0.361867	0.069620
Dbia	DB10_00004769	0.3170	0.3149	0.3101	0.3257	0.242	0.028	0.377	55.56	0.495	0.467	586	608	-0.307566	0.060855
