Gene,locus,Female Expression,Male Expression,Sex_Bias
DS10_00007552,scaffold27:673756-674146,0.00,167.53,male
DS10_00007568,scaffold27:808008-808308,0.00,138.89,male
DS10_00007570,scaffold27:825846-827998,1.17,32.84,male
DS10_00007594,scaffold26:255852-259092,0.00,34.01,male
DS10_00007622,scaffold26:659685-660738,0.08,21.20,male
DS10_00007631,scaffold26:752709-755949,0.02,4.34,male
DS10_00007634,scaffold26:795630-797175,0.00,30.55,male
DS10_00007640,scaffold18:143187-145497,0.00,14.53,male
DS10_00007652,scaffold18:464432-465914,0.00,64.24,male
DS10_00007653,scaffold18:466695-467574,0.28,36.51,male
DS10_00007654,scaffold18:490931-491510,1.25,12.40,male
DS10_00007656,scaffold18:552722-553343,0.00,28.59,male
DS10_00007674,scaffold18:835626-836821,0.18,2.10,male
DS10_00007675,scaffold28:10419-12209,0.00,13.37,male
DS10_00007677,scaffold28:172306-175303,0.00,26.36,male
DS10_00007678,scaffold28:191504-199215,0.03,7.99,male
DS10_00007679,scaffold28:213387-213822,77.54,0.11,female
DS10_00007681,scaffold28:262124-296560,0.01,4.26,male
DS10_00007694,scaffold28:542350-547277,0.02,26.95,male
DS10_00007702,scaffold28:590455-596067,10.52,53.39,male
DS10_00007713,scaffold28:641488-642969,1.40,15.61,male
DS10_00007749,scaffold31:340360-340837,0.00,61.48,male
DS10_00007776,scaffold31:685286-686087,0.08,57.89,male
DS10_00007777,scaffold31:691055-691931,0.00,47.95,male
DS10_00007783,scaffold15:142532-145109,0.00,7.48,male
DS10_00007784,scaffold15:219270-219699,0.12,24.82,male
DS10_00007800,scaffold15:405294-411508,2.50,57.57,male
DS10_00007804,scaffold15:510198-553746,2.41,20.09,male
DS10_00007821,scaffold15:665820-669478,0.14,42.52,male
DS10_00007863,scaffold16:289821-299121,0.00,11.18,male
DS10_00007915,scaffold16:660199-661654,0.10,15.01,male
DS10_00007918,scaffold16:731965-734517,0.05,20.18,male
DS10_00007919,scaffold16:740429-740858,0.31,5.09,male
DS10_00007922,scaffold17:39678-48875,0.00,18.77,male
DS10_00007937,scaffold17:391248-392399,0.04,78.21,male
DS10_00007945,scaffold17:594674-611204,0.02,8.08,male
DS10_00007946,scaffold17:648977-649992,0.49,10.82,male
DS10_00007949,scaffold17:654436-655807,0.03,17.82,male
DS10_00007952,scaffold41:23561-25109,0.26,11.79,male
DS10_00007978,scaffold20:89341-90088,0.06,5.65,male
DS10_00007986,scaffold20:237242-238809,0.21,4.44,male
DS10_00007998,scaffold20:363882-364281,0.36,2.78,male
DS10_00007999,scaffold20:379292-381321,0.02,42.96,male
DS10_00008008,scaffold20:447615-449364,0.02,5.29,male
DS10_00008018,scaffold20:518419-521421,0.00,23.30,male
DS10_00008025,scaffold20:659406-661955,0.53,4.09,male
DS10_00008027,scaffold20:681528-687751,0.00,7.00,male
DS10_00008030,scaffold20:727921-732287,0.13,9.54,male
DS10_00008037,scaffold19:234383-236495,0.00,7.85,male
DS10_00008075,scaffold45:346519-349433,0.16,71.71,male
DS10_00008089,scaffold45:566655-571358,0.10,21.69,male
DS10_00008090,scaffold45:598326-599512,0.00,53.82,male
DS10_00008093,scaffold45:623154-624574,0.00,31.17,male
DS10_00008107,scaffold25:107177-108701,0.05,6.67,male
DS10_00008132,scaffold25:405659-408530,0.07,22.53,male
DS10_00008166,scaffold22:443864-445907,0.02,25.39,male
DS10_00008187,scaffold23:135811-137935,0.00,19.11,male
DS10_00008188,scaffold23:144580-145231,3.37,0.26,female
DS10_00008194,scaffold23:222209-223205,0.04,33.26,male
DS10_00008206,scaffold23:323485-329519,13.01,0.01,female
DS10_00008249,scaffold24:507863-512537,0.22,35.16,male
DS10_00008256,scaffold98:69591-71523,0.00,11.60,male
DS10_00008262,scaffold98:88556-98843,0.25,10.26,male
DS10_00008264,scaffold98:99116-101048,0.00,12.97,male
DS10_00008276,scaffold98:235744-238007,5.86,0.23,female
DS10_00008280,scaffold98:317579-319098,0.00,26.75,male
DS10_00008319,scaffold29:209029-211147,0.77,45.39,male
DS10_00008325,scaffold29:344469-346317,0.00,26.52,male
DS10_00008326,scaffold29:347519-351614,4.19,0.13,female
DS10_00008338,scaffold29:533155-537963,0.05,21.51,male
DS10_00008361,scaffold30:191843-204776,4.85,0.76,female
DS10_00008368,scaffold30:240196-246311,0.29,2.78,male
DS10_00008378,scaffold30:291833-292575,10.51,0.84,female
DS10_00008390,scaffold30:388758-412662,5.93,39.69,male
DS10_00008398,scaffold30:457143-457673,12.20,0.20,female
DS10_00008400,scaffold30:460197-462643,316.43,1.90,female
DS10_00008404,scaffold30:503614-504793,0.00,14.79,male
DS10_00008431,scaffold33:432457-458737,0.02,6.88,male
DS10_00008432,scaffold33:502416-503568,0.00,63.78,male
DS10_00008434,scaffold34:53240-55513,0.65,4.82,male
DS10_00008437,scaffold34:57354-60680,0.25,38.91,male
DS10_00008441,scaffold34:80041-82738,0.03,2.96,male
DS10_00008444,scaffold34:139804-140518,0.00,57.36,male
DS10_00008454,scaffold34:412975-417512,0.11,32.21,male
DS10_00008464,scaffold34:456995-457748,43.54,0.12,female
DS10_00008483,scaffold40:151432-152392,0.26,53.15,male
DS10_00008519,scaffold40:363444-381709,2.29,17.94,male
DS10_00008538,scaffold32:268722-271382,0.02,10.25,male
DS10_00008539,scaffold32:271800-276593,2.99,13.74,male
DS10_00008544,scaffold32:348583-350197,0.02,12.26,male
DS10_00008545,scaffold32:361381-362413,0.06,15.93,male
DS10_00008568,scaffold70:118442-119915,0.04,23.82,male
DS10_00008573,scaffold70:151401-152657,0.00,21.35,male
DS10_00008576,scaffold70:248465-254109,1.57,51.24,male
DS10_00008579,scaffold70:305770-310381,0.00,39.78,male
DS10_00008580,scaffold70:330088-333568,0.00,28.77,male
DS10_00008581,scaffold70:346722-348473,0.00,18.97,male
DS10_00008589,scaffold70:400846-410772,33.56,129.40,male
DS10_00008598,scaffold120:91566-96391,0.02,15.00,male
DS10_00008608,scaffold120:236362-252695,0.01,11.30,male
DS10_00008629,scaffold123:98821-104413,0.12,6.03,male
DS10_00008631,scaffold123:225965-235590,0.50,243.27,male
DS10_00008636,scaffold123:250654-251488,0.23,230.60,male
DS10_00008650,scaffold123:305153-314429,24.40,7.06,female
DS10_00008657,scaffold123:367469-370120,0.02,39.79,male
DS10_00008666,scaffold35:216844-219659,0.00,43.13,male
DS10_00008670,scaffold35:343716-354824,0.15,10.92,male
DS10_00008672,scaffold35:362460-363192,0.00,28.34,male
DS10_00008677,scaffold35:395139-402254,4.06,37.63,male
DS10_00008689,scaffold36:37528-38686,0.04,14.02,male
DS10_00008692,scaffold36:78105-139944,0.07,7.69,male
DS10_00008698,scaffold36:256944-257379,0.11,27.40,male
DS10_00008702,scaffold36:445802-446062,3.02,0.29,female
DS10_00008717,scaffold251:8685-16705,0.08,2.51,male
DS10_00008728,scaffold251:76817-82902,21.65,5.78,female
DS10_00008735,scaffold251:212534-213719,0.94,15.73,male
DS10_00008750,scaffold251:401467-414158,0.17,8.63,male
DS10_00008772,scaffold37:163617-164765,0.45,131.80,male
DS10_00008785,scaffold37:311334-312150,0.00,23.23,male
DS10_00008799,scaffold37:440538-441649,0.00,31.20,male
DS10_00008822,scaffold97:84674-85712,0.00,58.72,male
DS10_00008826,scaffold97:96371-105536,0.12,26.94,male
DS10_00008843,scaffold97:397906-399153,0.04,21.30,male
DS10_00008851,scaffold38:53555-54995,0.15,2.80,male
DS10_00008859,scaffold38:152093-154658,0.00,7.46,male
DS10_00008860,scaffold38:156299-179786,0.02,8.19,male
DS10_00008866,scaffold38:258850-260124,1.05,11.90,male
DS10_00008867,scaffold38:260463-262245,2.34,25.25,male
DS10_00008877,scaffold38:319254-320306,0.15,26.05,male
DS10_00008884,scaffold38:375777-376164,0.14,101.87,male
DS10_00008888,scaffold48:3946-4345,8.06,0.16,female
DS10_00008890,scaffold48:11554-11965,24.78,1.13,female
DS10_00008891,scaffold48:12258-12569,22.11,1.62,female
DS10_00008892,scaffold48:13056-13431,81.85,12.01,female
DS10_00008894,scaffold48:14512-15276,10.44,0.77,female
DS10_00008895,scaffold48:16743-17100,10.72,0.22,female
DS10_00008912,scaffold48:405341-407451,0.06,6.68,male
DS10_00008925,scaffold200:231980-234802,0.00,29.42,male
DS10_00008928,scaffold200:247345-248260,0.00,36.83,male
DS10_00008929,scaffold200:250047-254091,1.73,30.34,male
DS10_00008936,scaffold200:349125-356203,0.00,37.08,male
DS10_00008939,scaffold200:369438-387436,0.03,10.59,male
DS10_00008960,scaffold42:148243-149131,0.00,17.22,male
DS10_00008981,scaffold42:419462-420296,0.00,39.46,male
DS10_00009070,scaffold59:135866-138046,0.60,29.23,male
DS10_00009098,scaffold44:27144-28113,0.00,24.47,male
DS10_00009099,scaffold44:28734-30085,0.00,14.89,male
DS10_00009101,scaffold44:44631-53720,0.00,19.78,male
DS10_00009107,scaffold44:214464-215355,0.06,16.92,male
DS10_00009122,scaffold68:43836-44574,0.00,47.65,male
DS10_00009124,scaffold68:75515-76332,0.00,72.81,male
DS10_00009132,scaffold68:216057-218436,0.00,25.25,male
DS10_00009150,scaffold290:243408-245898,0.00,25.45,male
DS10_00009153,scaffold290:278961-283356,0.00,45.59,male
DS10_00009163,scaffold46:85273-86068,0.11,12.18,male
DS10_00009179,scaffold46:250815-256222,0.30,5.58,male
DS10_00009181,scaffold46:250815-256222,1.45,53.40,male
DS10_00009264,scaffold94:61408-71774,17.72,72.33,male
DS10_00009286,scaffold94:238463-242205,2.16,15.00,male
DS10_00009288,scaffold94:243971-244685,0.00,619.42,male
DS10_00009311,scaffold93:223133-224702,0.00,23.35,male
DS10_00009322,scaffold52:21154-31495,0.01,15.17,male
DS10_00009334,scaffold52:195615-197757,0.00,125.71,male
DS10_00009344,scaffold52:279966-285767,0.03,10.47,male
DS10_00009357,scaffold52:369175-371206,0.13,38.69,male
DS10_00009358,scaffold52:372584-373539,0.60,51.67,male
DS10_00009359,scaffold52:375922-379108,2.24,36.31,male
DS10_00009373,scaffold55:219284-221504,0.02,19.23,male
DS10_00009374,scaffold55:241786-251486,0.00,10.80,male
DS10_00009377,scaffold55:258712-259754,0.03,20.31,male
DS10_00009381,scaffold55:291684-294875,0.00,19.47,male
DS10_00009382,scaffold55:297363-300909,0.03,7.04,male
DS10_00009405,scaffold203:230594-238019,0.20,7.70,male
DS10_00009428,scaffold49:38228-50052,0.07,82.82,male
DS10_00009441,scaffold49:159503-160044,0.13,386.53,male
DS10_00009454,scaffold64:169-2649,0.60,28.19,male
DS10_00009472,scaffold160:63395-74011,3.01,0.18,female
DS10_00009476,scaffold160:127212-128809,0.16,3.33,male
DS10_00009479,scaffold160:147314-149494,0.21,3.18,male
DS10_00009497,scaffold65:2-24372,78.69,0.19,female
DS10_00009516,scaffold65:328067-329391,0.00,18.85,male
DS10_00009517,scaffold65:331190-332609,0.32,51.62,male
DS10_00009520,scaffold65:339703-341181,0.06,18.66,male
DS10_00009543,scaffold53:91953-108890,40.95,12.86,female
DS10_00009546,scaffold53:128168-143001,0.00,17.53,male
DS10_00009553,scaffold53:289803-292925,0.02,13.65,male
DS10_00009563,scaffold53:349138-350334,0.03,77.74,male
DS10_00009572,scaffold156:286496-287458,0.00,46.05,male
DS10_00009573,scaffold156:296299-302947,0.00,29.25,male
DS10_00009576,scaffold156:351831-354645,7.53,1.40,female
DS10_00009579,scaffold56:30589-31197,0.06,3.68,male
DS10_00009605,scaffold56:116677-124125,8.54,30.07,male
DS10_00009628,scaffold56:301649-305711,1.56,18.57,male
DS10_00009629,scaffold56:325038-325485,0.00,39.73,male
DS10_00009679,scaffold106:290801-299745,0.01,19.82,male
DS10_00009687,scaffold106:324568-336811,0.17,240.89,male
DS10_00009694,scaffold89:22065-22974,0.00,80.89,male
DS10_00009712,scaffold89:267348-269625,0.03,23.24,male
DS10_00009726,scaffold61:17395-18076,0.31,5.44,male
DS10_00009761,scaffold72:247594-249297,0.04,12.36,male
DS10_00009762,scaffold72:280742-281690,0.00,34.41,male
DS10_00009772,scaffold66:107969-119420,0.00,8.58,male
DS10_00009776,scaffold66:145727-151183,11.71,184.51,male
DS10_00009781,scaffold66:176919-177210,0.77,10.89,male
DS10_00009806,scaffold66:286752-294581,9.59,44.52,male
DS10_00009824,scaffold162:290063-292217,0.05,16.61,male
DS10_00009825,scaffold162:292659-294788,0.02,31.58,male
DS10_00009864,scaffold177:176434-177535,0.00,53.89,male
DS10_00009865,scaffold177:177815-178727,0.00,57.04,male
DS10_00009870,scaffold177:296955-297488,0.00,47.13,male
DS10_00009876,scaffold71:248836-249877,16.79,1.20,female
DS10_00009910,scaffold77:176401-184878,0.09,3.06,male
DS10_00009924,scaffold78:239572-249250,19.61,71.02,male
DS10_00009943,scaffold223:156300-157091,0.07,6.48,male
DS10_00009958,scaffold81:75968-76864,0.04,5.94,male
DS10_00009959,scaffold81:96847-97743,0.13,20.31,male
DS10_00009962,scaffold81:280255-282078,0.00,11.74,male
DS10_00009971,scaffold102:47632-49118,0.19,5.49,male
DS10_00009973,scaffold102:49271-53515,0.16,4.17,male
DS10_00010001,scaffold102:164888-182559,0.76,18.11,male
DS10_00010014,scaffold149:47008-54915,0.08,17.63,male
DS10_00010085,scaffold112:57773-61045,44.46,154.49,male
DS10_00010128,scaffold86:50749-55094,3.35,33.81,male
DS10_00010130,scaffold86:65973-67624,0.00,35.93,male
DS10_00010131,scaffold86:67708-68544,0.05,12.31,male
DS10_00010141,scaffold86:156476-157376,0.00,165.76,male
DS10_00010148,scaffold99:133048-138813,15.01,2.42,female
DS10_00010153,scaffold99:165086-169152,0.02,13.68,male
DS10_00010158,scaffold99:274727-275110,63.16,0.55,female
DS10_00010214,scaffold305:57576-58276,0.07,12.77,male
DS10_00010225,scaffold126:34865-35894,0.00,13.94,male
DS10_00010229,scaffold126:181406-201708,0.03,37.78,male
DS10_00010232,scaffold126:266725-266904,0.00,2831.16,male
DS10_00010239,scaffold92:93449-100061,1.70,82.34,male
DS10_00010241,scaffold92:103578-107973,6.08,37.10,male
DS10_00010245,scaffold92:128664-132032,0.23,9.70,male
DS10_00010257,scaffold92:190888-194227,93.14,28.20,female
DS10_00010261,scaffold92:222528-222918,0.00,228.06,male
DS10_00010279,scaffold158:241959-243871,5.74,28.71,male
DS10_00010295,scaffold155:124221-128338,2.64,16.10,male
DS10_00010297,scaffold155:132106-133095,0.22,5.78,male
DS10_00010318,scaffold166:84779-86149,0.00,19.23,male
DS10_00010332,scaffold166:220418-228770,0.74,7.61,male
DS10_00010357,scaffold308:40146-40868,0.18,3.41,male
DS10_00010389,scaffold204:57788-60733,0.08,19.63,male
DS10_00010397,scaffold204:173229-174735,1.48,17.05,male
DS10_00010398,scaffold204:175418-176924,1.52,16.56,male
DS10_00010417,scaffold100:38608-42565,0.04,17.45,male
DS10_00010433,scaffold100:237051-241729,6.83,29.23,male
DS10_00010435,scaffold152:256-685,0.31,5.09,male
DS10_00010436,scaffold152:5051-5987,0.09,24.03,male
DS10_00010437,scaffold152:6465-7371,0.03,18.87,male
DS10_00010438,scaffold152:28172-30796,0.03,20.36,male
DS10_00010444,scaffold132:127811-128275,0.00,64.64,male
DS10_00010463,scaffold103:216116-250189,0.52,6.60,male
DS10_00010468,scaffold108:60888-63128,0.24,10.47,male
DS10_00010474,scaffold108:112542-118034,6.07,26.89,male
DS10_00010495,scaffold241:219783-253951,0.41,7.92,male
DS10_00010509,scaffold247:29491-31267,0.17,63.36,male
DS10_00010512,scaffold247:210881-211214,0.70,12.38,male
DS10_00010513,scaffold247:215241-216739,35.56,5.88,female
DS10_00010514,scaffold247:217044-225020,1.14,8.57,male
DS10_00010516,scaffold247:226350-227016,0.00,45.49,male
DS10_00010523,scaffold110:18923-24373,0.75,25.86,male
DS10_00010524,scaffold110:18923-24373,0.02,52.81,male
DS10_00010538,scaffold110:171510-180331,0.01,5.03,male
DS10_00010547,scaffold111:26366-26639,0.25,26.83,male
DS10_00010548,scaffold111:28224-28416,0.58,41.39,male
DS10_00010571,scaffold117:186-4405,4.63,21.34,male
DS10_00010589,scaffold121:60997-61498,0.10,5.10,male
DS10_00010617,scaffold214:12326-17587,1.20,14.46,male
DS10_00010624,scaffold124:27724-31377,14.98,52.21,male
DS10_00010628,scaffold124:54019-54559,94.69,0.37,female
DS10_00010634,scaffold124:75126-82708,0.07,2.30,male
DS10_00010646,scaffold124:129465-132187,10.87,1.02,female
DS10_00010650,scaffold124:192074-193976,0.42,4.98,male
DS10_00010658,scaffold127:22357-23736,0.22,7.65,male
DS10_00010674,scaffold127:147778-158181,0.07,29.11,male
DS10_00010745,scaffold135:88017-88821,0.05,35.76,male
DS10_00010777,scaffold220:123559-131724,2.12,0.18,female
DS10_00010786,scaffold209:20621-21560,0.05,21.84,male
DS10_00010789,scaffold209:33274-34263,0.06,84.18,male
DS10_00010795,scaffold209:192668-194503,0.00,38.89,male
DS10_00010817,scaffold353:126456-132019,0.40,3.45,male
DS10_00010846,scaffold145:35017-36351,0.12,17.24,male
DS10_00010862,scaffold146:16118-17168,0.04,5.17,male
DS10_00010863,scaffold146:17802-18849,0.00,33.38,male
DS10_00010864,scaffold146:38509-43724,0.02,17.31,male
DS10_00010877,scaffold146:88171-89707,1.04,29.64,male
DS10_00010894,scaffold147:71152-71934,0.09,40.95,male
DS10_00010896,scaffold147:75787-76582,1.77,33.18,male
DS10_00010903,scaffold147:145289-147402,0.07,8.48,male
DS10_00010912,scaffold150:55871-58612,0.03,83.67,male
DS10_00010937,scaffold243:72385-81902,0.00,206.43,male
DS10_00010938,scaffold243:92955-93591,0.00,30.31,male
DS10_00010940,scaffold243:115635-116617,0.00,51.80,male
DS10_00010943,scaffold243:147091-148935,0.02,20.26,male
DS10_00010951,scaffold153:102314-115449,28.54,84.83,male
DS10_00010953,scaffold153:128317-129013,2.70,21.07,male
DS10_00010973,scaffold205:68609-85074,0.14,35.75,male
DS10_00010987,scaffold205:177808-185547,0.02,15.53,male
DS10_00011005,scaffold260:188950-191898,0.02,22.62,male
DS10_00011021,scaffold185:194484-195549,0.00,16.14,male
DS10_00011064,scaffold404:99539-100135,4.08,26.27,male
DS10_00011093,scaffold315:136162-143950,0.11,2.53,male
DS10_00011105,scaffold202:70943-71594,2.07,46.04,male
DS10_00011117,scaffold394:165099-170549,3.97,0.61,female
DS10_00011120,scaffold460:16754-18422,3.09,30.81,male
DS10_00011121,scaffold460:18785-21528,0.02,3.55,male
DS10_00011122,scaffold460:43588-43921,0.68,12.18,male
DS10_00011124,scaffold460:49477-55370,28.10,5.20,female
DS10_00011125,scaffold460:55678-64535,1.82,8.94,male
DS10_00011128,scaffold460:70326-71402,0.23,81.04,male
DS10_00011129,scaffold460:71715-72246,0.54,14.21,male
DS10_00011130,scaffold460:72651-75183,0.48,37.37,male
DS10_00011156,scaffold172:147145-149124,0.47,8.78,male
DS10_00011159,scaffold172:151068-154184,0.21,11.36,male
DS10_00011160,scaffold172:161490-163022,0.05,7.87,male
DS10_00011183,scaffold173:157289-170290,0.04,10.46,male
DS10_00011193,scaffold175:65599-65791,1.23,6839.53,male
DS10_00011194,scaffold175:87632-89424,0.03,7.75,male
DS10_00011195,scaffold175:92458-92905,0.00,64.07,male
DS10_00011196,scaffold175:93055-95026,0.00,19.33,male
DS10_00011197,scaffold175:99551-100078,0.00,126.40,male
DS10_00011201,scaffold175:127652-135042,0.04,7.79,male
DS10_00011223,scaffold179:45421-47100,280.31,12.12,female
DS10_00011249,scaffold531:95645-116013,0.14,5.22,male
DS10_00011264,scaffold183:26340-34092,0.03,8.22,male
DS10_00011265,scaffold183:34441-38278,0.10,10.19,male
DS10_00011306,scaffold186:78875-80641,0.00,40.66,male
DS10_00011345,scaffold188:90795-91298,0.16,404.53,male
DS10_00011363,scaffold189:47533-58563,1.28,127.89,male
DS10_00011368,scaffold189:95280-103587,75.50,24.92,female
DS10_00011400,scaffold192:104-1195,0.00,17.74,male
DS10_00011406,scaffold192:49108-53361,1.22,34.08,male
DS10_00011415,scaffold192:103560-104607,9.42,43.20,male
DS10_00011429,scaffold193:52020-56279,0.00,6.53,male
DS10_00011464,scaffold198:18467-19340,0.05,16.38,male
DS10_00011465,scaffold198:38093-42448,0.00,54.70,male
DS10_00011466,scaffold198:69580-83730,0.00,19.52,male
DS10_00011467,scaffold198:93970-98644,0.01,22.13,male
DS10_00011468,scaffold198:143861-145603,0.00,10.84,male
DS10_00011470,scaffold401:13361-14964,0.03,8.04,male
DS10_00011471,scaffold401:18611-27049,3.07,25.15,male
DS10_00011472,scaffold401:42569-47553,0.02,2.23,male
DS10_00011505,scaffold199:80392-83215,0.38,5.47,male
DS10_00011513,scaffold199:153186-153594,0.42,33.86,male
DS10_00011521,scaffold368:14731-16662,0.03,6.42,male
DS10_00011546,scaffold206:22465-25339,0.23,2.26,male
DS10_00011560,scaffold206:112529-117782,0.54,3.59,male
DS10_00011566,scaffold267:133551-134850,0.00,14.32,male
DS10_00011608,scaffold215:118375-120155,0.74,30.58,male
DS10_00011633,scaffold227:4908-11149,0.04,39.81,male
DS10_00011635,scaffold227:59208-60018,0.00,97.86,male
DS10_00011651,scaffold221:54198-57285,0.02,45.64,male
DS10_00011660,scaffold221:140042-140549,0.00,92.44,male
DS10_00011668,scaffold259:14594-17355,0.08,20.03,male
DS10_00011675,scaffold259:36185-42587,0.02,3.82,male
DS10_00011676,scaffold259:36185-42587,0.23,5.01,male
DS10_00011677,scaffold259:45776-48302,4.37,0.27,female
DS10_00011695,scaffold229:58519-71572,0.00,8.57,male
DS10_00011703,scaffold405:43498-47428,0.00,25.08,male
DS10_00011709,scaffold232:12655-14530,0.00,17.60,male
DS10_00011742,scaffold447:8126-13029,0.00,4.82,male
DS10_00011759,scaffold425:66629-69379,0.00,11.08,male
DS10_00011787,scaffold328:136706-138148,0.00,29.10,male
DS10_00011797,scaffold439:82749-83331,0.08,4.54,male
DS10_00011802,scaffold372:35945-49010,0.23,5.18,male
DS10_00011825,scaffold337:74166-74757,0.00,38.67,male
DS10_00011838,scaffold261:25162-25715,0.00,60.60,male
DS10_00011851,scaffold266:39607-45474,87.18,27.58,female
DS10_00011858,scaffold266:70127-74352,1.01,15.45,male
DS10_00011860,scaffold266:82359-85896,0.07,61.24,male
DS10_00011877,scaffold264:50776-63525,0.39,3.02,male
DS10_00011899,scaffold307:5905-6793,0.30,15.83,male
DS10_00011901,scaffold307:28532-38037,8.32,0.63,female
DS10_00011906,scaffold307:93464-94052,0.08,3.93,male
DS10_00011919,scaffold676:107624-108073,0.00,60.52,male
DS10_00011921,scaffold676:124145-125937,0.04,2.23,male
DS10_00011922,scaffold676:126181-131112,0.01,18.70,male
DS10_00011927,scaffold451:44093-48875,0.17,21.15,male
DS10_00011928,scaffold451:49186-55232,6.90,24.59,male
DS10_00011935,scaffold412:56833-87205,0.87,4.26,male
DS10_00011950,scaffold275:47653-63367,8.06,61.13,male
DS10_00011959,scaffold325:47024-47749,0.07,25.52,male
DS10_00011966,scaffold325:95966-96404,0.16,21.06,male
DS10_00011983,scaffold383:25949-37005,0.01,31.57,male
DS10_00011990,scaffold383:88906-89422,0.20,5.94,male
DS10_00012026,scaffold283:62036-63367,0.10,125.41,male
DS10_00012029,scaffold284:124392-128640,0.00,31.10,male
DS10_00012031,scaffold285:10168-12872,0.06,58.43,male
DS10_00012042,scaffold285:84767-90994,24.01,2.06,female
DS10_00012043,scaffold285:92349-92712,0.43,71.52,male
DS10_00012074,scaffold494:108177-108552,45.79,5.21,female
DS10_00012076,scaffold301:31657-33273,0.02,11.51,male
DS10_00012077,scaffold301:53221-54250,0.04,75.49,male
DS10_00012079,scaffold301:83895-85047,0.00,80.69,male
DS10_00012107,scaffold310:88129-109380,0.06,2.11,male
DS10_00012114,scaffold477:10193-31613,0.10,9.90,male
DS10_00012122,scaffold375:55647-56669,0.70,6.55,male
DS10_00012137,scaffold510:95128-96632,0.02,8.49,male
DS10_00012141,scaffold321:39581-40172,0.04,3.33,male
DS10_00012157,scaffold335:110691-112203,0.03,51.71,male
DS10_00012159,scaffold324:105705-111171,0.71,101.15,male
DS10_00012160,scaffold324:112769-114721,0.11,48.43,male
DS10_00012177,scaffold802:113447-114425,0.58,30.03,male
DS10_00012204,scaffold653:17919-19443,18.67,0.56,female
DS10_00012224,scaffold511:3407-5307,1.26,26.59,male
DS10_00012239,scaffold379:21082-22225,34.07,0.07,female
DS10_00012244,scaffold379:60765-67481,0.06,21.12,male
DS10_00012264,scaffold668:61040-62380,5.70,88.60,male
DS10_00012290,scaffold787:308-2811,0.00,39.39,male
DS10_00012295,scaffold390:31689-32205,2.51,29.40,male
DS10_00012305,scaffold389:54631-60288,0.02,4.31,male
DS10_00012307,scaffold389:61230-62265,0.01,8.36,male
DS10_00012314,scaffold391:80144-85472,0.01,8.38,male
DS10_00012323,scaffold393:81848-83501,0.00,31.30,male
DS10_00012324,scaffold393:84311-85129,0.06,94.22,male
DS10_00012337,scaffold400:53348-56401,0.00,13.13,male
DS10_00012338,scaffold400:58326-62077,0.00,8.82,male
DS10_00012350,scaffold402:17057-18278,0.12,5.69,male
DS10_00012359,scaffold406:48537-50101,2.03,0.19,female
DS10_00012364,scaffold529:5477-11876,0.18,14.71,male
DS10_00012374,scaffold529:70756-82267,0.02,48.17,male
DS10_00012375,scaffold529:84331-85318,0.00,47.17,male
DS10_00012412,scaffold449:26301-27202,0.00,78.90,male
DS10_00012414,scaffold449:39340-43890,0.03,26.80,male
DS10_00012415,scaffold449:72762-73289,0.00,51.29,male
DS10_00012432,scaffold574:12431-15647,0.02,41.69,male
DS10_00012435,scaffold574:34902-37608,0.25,8.31,male
DS10_00012455,scaffold418:63862-65326,0.00,28.58,male
DS10_00012460,scaffold420:65118-70240,0.11,16.52,male
DS10_00012461,scaffold420:70789-82348,0.01,8.23,male
DS10_00012464,scaffold419:36920-37991,42.04,8.64,female
DS10_00012470,scaffold422:63544-64865,0.00,45.27,male
DS10_00012471,scaffold422:71398-76936,0.01,20.01,male
DS10_00012485,scaffold433:40967-44683,3.43,113.01,male
DS10_00012521,scaffold444:48264-48573,0.00,91.47,male
DS10_00012535,scaffold562:59879-61400,5.35,0.51,female
DS10_00012536,scaffold562:61836-63938,0.02,30.16,male
DS10_00012539,scaffold448:61052-69402,6.14,0.45,female
DS10_00012561,scaffold462:7099-8336,0.08,4.56,male
DS10_00012568,scaffold462:33865-36001,0.00,65.41,male
DS10_00012584,scaffold771:61565-62397,0.00,81.77,male
DS10_00012620,scaffold483:11842-33996,0.40,4.74,male
DS10_00012623,scaffold483:50411-63253,0.01,9.25,male
DS10_00012629,scaffold488:34842-42012,0.08,40.64,male
DS10_00012638,scaffold575:39596-40484,0.00,16.30,male
DS10_00012639,scaffold575:54062-54554,3.53,0.11,female
DS10_00012641,scaffold575:55086-66076,5.92,0.10,female
DS10_00012657,scaffold493:23075-24653,0.03,4.31,male
DS10_00012667,scaffold513:55072-56083,0.16,14.79,male
DS10_00012674,scaffold516:36444-37212,0.03,3.69,male
DS10_00012693,scaffold528:419-1918,1.64,20.14,male
DS10_00012712,scaffold547:44895-45630,0.06,59.07,male
DS10_00012718,scaffold549:37407-56508,0.22,25.63,male
DS10_00012733,scaffold890:403-3301,0.00,20.61,male
DS10_00012748,scaffold577:54582-56848,0.02,15.56,male
DS10_00012801,scaffold622:32106-33323,0.00,64.56,male
DS10_00012804,scaffold626:53227-55180,4.14,0.12,female
DS10_00012807,scaffold979:18630-21046,0.48,29.44,male
DS10_00012813,scaffold642:45051-45360,0.00,90.44,male
DS10_00012843,scaffold1441:14531-17764,0.03,18.33,male
DS10_00012856,scaffold1197:64-846,0.09,46.72,male
DS10_00012864,scaffold674:19065-20462,0.90,8.69,male
DS10_00012868,scaffold674:37017-39783,0.02,3.04,male
