Gene	Taxon	T3s	C3s	A3s	G3s	CAI	CBI	Fop	Nc	GC3s	GC	L_sym	L_aa	Gravy	Aromo
6463	DS10_00006828	Dsuz	0.2115	0.5132	0.1199	0.4735	0.306	0.39	0.619	16.640625	0.741	0.565	795	818	-0.613081	0.108802
6464	DS10_00006829	Dsuz	0.3167	0.4429	0.1896	0.2458	0.264	0.24	0.499	21.375	0.57	0.58	479	487	-0.526694	0.057495
6465	DS10_00006831	Dsuz	0.1935	0.4355	0.1186	0.509	0.237	0.352	0.58	19.53125	0.744	0.567	371	381	-0.223622	0.073491
6466	DS10_00006832	Dsuz	0.1973	0.4877	0.1701	0.4323	0.259	0.317	0.569	23.609375	0.707	0.542	441	458	-0.326419	0.131004
6467	DS10_00006834	Dsuz	0.3022	0.4053	0.1922	0.3463	0.268	0.21	0.496	35.1875	0.595	0.549	494	508	-0.355905	0.076772
6468	DS10_00006849	Dsuz	0.2581	0.3978	0.2432	0.3088	0.19	0.14	0.43	47.09375	0.58	0.534	100	103	-0.142718	0.174757
6469	DS10_00006867	Dsuz	0.156	0.4907	0.111	0.5099	0.285	0.42	0.626	18.265625	0.781	0.577	901	923	-0.047346	0.061755
6470	DS10_00006868	Dsuz	0.2084	0.4202	0.227	0.3085	0.196	0.183	0.446	28.078125	0.629	0.645	634	706	-0.806657	0.018414
6471	DS10_00006870	Dsuz	0.2185	0.4537	0.1676	0.4756	0.268	0.311	0.564	27.640625	0.696	0.521	2009	2094	-0.157306	0.081184
6472	DS10_00006872	Dsuz	0.0722	0.6907	0.0469	0.4854	0.321	0.803	0.876	NA	0.907	0.612	258	262	-0.684733	0.080153
6473	DS10_00006873	Dsuz	0.1724	0.4787	0.1478	0.4627	0.264	0.389	0.603	21.3125	0.74	0.597	604	624	-0.360737	0.070513
6474	DS10_00006875	Dsuz	0.1958	0.5315	0.1781	0.4254	0.309	0.336	0.583	29.15625	0.711	0.539	187	199	-0.479397	0.090452
6475	DS10_00006877	Dsuz	0.2468	0.4468	0.1717	0.4557	0.254	0.295	0.557	30.75	0.678	0.544	628	642	-0.806698	0.057632
6476	DS10_00006878	Dsuz	0.1723	0.5107	0.1033	0.507	0.287	0.414	0.625	16.90625	0.78	0.582	800	832	-0.451923	0.069712
6477	DS10_00006879	Dsuz	0.2284	0.398	0.2566	0.3604	0.231	0.164	0.456	37.984375	0.604	0.548	1642	1701	-0.636508	0.04174
6478	DS10_00006883	Dsuz	0.1989	0.4796	0.1149	0.4733	0.237	0.358	0.586	23.671875	0.743	0.585	428	441	-0.302948	0.081633
6479	DS10_00006889	Dsuz	0.1145	0.6718	0.0916	0.3719	0.309	0.649	0.775	3.09375	0.831	0.601	160	172	0.047093	0.104651
6480	DS10_00006890	Dsuz	0.0815	0.618	0.0819	0.5185	0.308	0.603	0.748	5.265625	0.871	0.631	294	302	-0.314238	0.059603
6481	DS10_00006894	Dsuz	0.1931	0.4704	0.1313	0.4232	0.278	0.379	0.592	19.453125	0.727	0.591	600	629	0.126073	0.0938
6482	DS10_00006895	Dsuz	0.1649	0.4875	0.1351	0.4444	0.229	0.344	0.572	26.796875	0.75	0.553	304	324	0.356173	0.145062
6483	DS10_00006896	Dsuz	0.1965	0.4542	0.1513	0.4749	0.266	0.329	0.568	23.703125	0.721	0.57	2688	2779	-0.325765	0.078086
6484	DS10_00006897	Dsuz	0.2637	0.4336	0.1576	0.3945	0.275	0.316	0.561	29.015625	0.653	0.567	681	698	-0.213324	0.070201
6485	DS10_00006898	Dsuz	0.2207	0.4562	0.1868	0.4725	0.268	0.316	0.575	27.796875	0.689	0.537	1409	1464	-0.767418	0.068989
6486	DS10_00006901	Dsuz	0.2526	0.4278	0.2039	0.3949	0.203	0.181	0.474	34.734375	0.637	0.541	251	258	-0.491861	0.046512
6487	DS10_00006904	Dsuz	0.2053	0.4005	0.1913	0.3855	0.217	0.203	0.462	32.125	0.66	0.597	1813	1862	-0.535661	0.048872
6488	DS10_00006919	Dsuz	0.3974	0.25	0.2847	0.2308	0.179	-0.031	0.294	28.640625	0.406	0.422	170	173	-0.148555	0.063584
6489	DS10_00006926	Dsuz	0.1761	0.4437	0.1643	0.4891	0.207	0.35	0.584	28.734375	0.73	0.602	178	187	-0.759358	0.048128
6490	DS10_00006949	Dsuz	0.2409	0.3285	0.2486	0.4365	0.201	0.213	0.493	29.59375	0.611	0.574	203	205	-1.560488	0.019512
6491	DS10_00006956	Dsuz	0.3554	0.2613	0.3498	0.3291	0.154	-0.006	0.357	42.40625	0.441	0.432	347	370	-0.010541	0.097297
6492	DS10_00006959	Dsuz	0.3372	0.2421	0.3693	0.2495	0.178	-0.049	0.303	31.890625	0.406	0.517	2429	2440	-0.925287	0.061475
6493	DS10_00006961	Dsuz	0.1366	0.5309	0.1394	0.4622	0.282	0.427	0.63	18.140625	0.777	0.591	470	485	-0.385155	0.070103
6494	DS10_00006963	Dsuz	0.1948	0.474	0.2184	0.3786	0.239	0.296	0.546	29.734375	0.669	0.541	544	564	-0.368794	0.090426
6495	DS10_00006965	Dsuz	0.2675	0.3901	0.1816	0.4407	0.258	0.227	0.508	32.25	0.638	0.532	691	719	-0.304451	0.098748
6496	DS10_00006967	Dsuz	0.2656	0.3438	0.3294	0.3154	0.194	0.066	0.396	45.171875	0.519	0.463	316	326	-0.220245	0.058282
6497	DS10_00006968	Dsuz	0.2396	0.4112	0.1861	0.4286	0.205	0.249	0.513	31.546875	0.657	0.551	816	838	-0.349881	0.095465
6498	DS10_00006982	Dsuz	0.2816	0.4105	0.1695	0.3661	0.254	0.232	0.504	32.546875	0.624	0.559	1275	1346	-0.343314	0.092125
6499	DS10_00006983	Dsuz	0.1908	0.5583	0.0929	0.4492	0.29	0.542	0.707	11.140625	0.778	0.613	379	402	-0.669403	0.044776
6500	DS10_00006984	Dsuz	0.125	0.4688	0.3293	0.3684	0.216	0.269	0.536	46.65625	0.652	0.517	112	118	0.034746	0.110169
6501	DS10_00006986	Dsuz	0.1884	0.4907	0.136	0.4713	0.244	0.415	0.627	20.265625	0.744	0.592	582	605	-0.762314	0.041322
6502	DS10_00006994	Dsuz	0.1857	0.538	0.1391	0.3894	0.311	0.367	0.594	19.3125	0.737	0.587	556	575	-0.63913	0.04
6503	DS10_00007001	Dsuz	0.2604	0.3767	0.2926	0.3737	0.212	0.137	0.448	38.375	0.569	0.496	429	440	-0.368409	0.084091
6504	DS10_00007002	Dsuz	0.3276	0.3678	0.3064	0.3376	0.206	0.1	0.441	40.09375	0.515	0.462	227	236	-0.550424	0.080508
6505	DS10_00007005	Dsuz	0.2747	0.3718	0.2275	0.3843	0.215	0.139	0.445	39.875	0.591	0.51	650	687	-0.093595	0.114993
6506	DS10_00007006	Dsuz	0.129	0.5591	0.2079	0.5213	0.376	0.453	0.672	18.96875	0.754	0.536	134	138	-0.668116	0.065217
6507	DS10_00007007	Dsuz	0.2059	0.4	0.2717	0.3836	0.186	0.201	0.483	27.890625	0.611	0.52	211	216	-0.433333	0.041667
6508	DS10_00007008	Dsuz	0.2432	0.3243	0.2952	0.4211	0.222	0.156	0.463	35.71875	0.567	0.492	134	145	-0.493793	0.075862
6509	DS10_00007011	Dsuz	0.3137	0.3784	0.1369	0.4633	0.243	0.241	0.518	25.3125	0.64	0.535	627	664	-0.501657	0.103916
6510	DS10_00007012	Dsuz	0.3932	0.3023	0.2567	0.369	0.212	0.068	0.421	39.9375	0.49	0.47	573	609	-0.441379	0.103448
6511	DS10_00007013	Dsuz	0.2479	0.3843	0.2542	0.3649	0.281	0.183	0.469	38.625	0.592	0.529	294	312	-0.48141	0.070513
6512	DS10_00007021	Dsuz	0.2884	0.3727	0.2204	0.3877	0.258	0.205	0.49	34.140625	0.591	0.529	8578	8785	-0.558441	0.046443
6513	DS10_00007022	Dsuz	0.2332	0.4505	0.1582	0.4518	0.263	0.346	0.587	27.859375	0.693	0.581	400	407	-0.797543	0.056511
6514	DS10_00007023	Dsuz	0.2194	0.4604	0.1818	0.3953	0.254	0.316	0.566	25.53125	0.674	0.553	341	357	-0.154342	0.072829
6515	DS10_00007024	Dsuz	0.2065	0.481	0.1284	0.4623	0.284	0.398	0.613	19.875	0.728	0.561	437	450	-0.12	0.077778
6516	DS10_00007025	Dsuz	0.2505	0.3816	0.1739	0.4412	0.243	0.24	0.508	31.25	0.65	0.555	606	624	-0.369391	0.0625
6517	DS10_00007028	Dsuz	0.1344	0.6344	0.125	0.3618	0.243	0.434	0.638	15.59375	0.794	0.586	218	241	0.034025	0.165975
6518	DS10_00007031	Dsuz	0.2329	0.4486	0.1529	0.4069	0.272	0.313	0.558	28.421875	0.682	0.553	330	340	-0.130883	0.120588
6519	DS10_00007034	Dsuz	0.2772	0.3267	0.3607	0.3504	0.218	-0.002	0.377	38.296875	0.507	0.478	146	152	-1.1375	0.019737
6520	DS10_00007035	Dsuz	0.1738	0.4295	0.1662	0.483	0.275	0.334	0.571	25.1875	0.725	0.595	396	406	-0.592611	0.03202
6521	DS10_00007039	Dsuz	0.2348	0.4017	0.2076	0.4216	0.259	0.275	0.535	33.125	0.644	0.559	734	747	-0.620616	0.058902
6522	DS10_00007040	Dsuz	0.2503	0.419	0.1414	0.464	0.259	0.299	0.556	27.234375	0.687	0.594	1102	1113	-0.702246	0.055705
6523	DS10_00007041	Dsuz	0.0911	0.5901	0.0828	0.4928	0.261	0.505	0.682	9.84375	0.859	0.636	625	642	-0.676013	0.05919
6524	DS10_00007042	Dsuz	0.1466	0.5113	0.122	0.5018	0.245	0.432	0.64	21.875	0.788	0.596	353	368	-0.641304	0.065217
6525	DS10_00007085	Dsuz	0.3661	0.3393	0.1923	0.4156	0.257	0.006	0.381	47.09375	0.556	0.552	126	139	-1.184173	0.107914
6526	DS10_00007103	Dsuz	0.2828	0.3926	0.1938	0.3809	0.25	0.191	0.473	35.90625	0.61	0.532	788	800	-0.328	0.05625
6527	DS10_00007106	Dsuz	0.2145	0.4472	0.1909	0.3929	0.246	0.244	0.505	33.015625	0.669	0.573	721	740	-0.568108	0.041892
6528	DS10_00007107	Dsuz	0.1979	0.4545	0.1916	0.4467	0.229	0.291	0.548	27.65625	0.688	0.507	221	226	-0.003097	0.097345
6529	DS10_00007114	Dsuz	0.3739	0.2957	0.3303	0.3061	0.21	0.018	0.378	47.09375	0.448	0.426	143	148	-0.022973	0.074324
6530	DS10_00007118	Dsuz	0.4444	0.2132	0.4167	0.2353	0.177	-0.183	0.25	33.390625	0.331	0.374	408	423	-0.02104	0.132388
6531	DS10_00007119	Dsuz	0.1486	0.6351	0.0526	0.2807	0.282	0.487	0.649	10.9375	0.818	0.628	77	78	0.451282	0.230769
6532	DS10_00007123	Dsuz	0.2818	0.3909	0.1615	0.4134	0.25	0.233	0.503	28.96875	0.631	0.513	507	529	0.125331	0.143667
6533	DS10_00007126	Dsuz	0.2156	0.4373	0.2046	0.3553	0.252	0.231	0.49	30.6875	0.651	0.594	1938	1977	-0.742792	0.053617
6534	DS10_00007129	Dsuz	0.3102	0.3321	0.3192	0.3042	0.194	0.084	0.413	37.328125	0.494	0.472	332	342	-0.257895	0.084795
6535	DS10_00007131	Dsuz	0.3319	0.326	0.3066	0.3109	0.184	0.024	0.38	42.484375	0.486	0.467	790	823	-0.414459	0.094775
6536	DS10_00007138	Dsuz	0.2267	0.434	0.2094	0.3967	0.231	0.247	0.516	33.6875	0.648	0.54	1567	1628	-0.388882	0.070025
6537	DS10_00007139	Dsuz	0.1902	0.4689	0.1631	0.4155	0.252	0.332	0.566	25.578125	0.708	0.577	737	770	-0.247403	0.058442
6538	DS10_00007144	Dsuz	0.3043	0.3696	0.3452	0.3375	0.23	0.066	0.424	47.09375	0.517	0.464	118	120	-0.4525	0.1
6539	DS10_00007146	Dsuz	0.1467	0.44	0.2683	0.3766	0.169	0.235	0.495	25.90625	0.653	0.564	95	101	-0.065347	0.059406
6540	DS10_00007147	Dsuz	0.2915	0.3745	0.2368	0.2911	0.193	0.126	0.423	42.9375	0.545	0.497	508	533	0.753471	0.131332
6541	DS10_00007148	Dsuz	0.1864	0.4545	0.2074	0.4035	0.218	0.273	0.526	29.28125	0.679	0.505	249	273	0.469963	0.157509
6542	DS10_00007149	Dsuz	0.23	0.43	0.1835	0.4898	0.222	0.283	0.545	29.90625	0.679	0.529	134	138	-0.512319	0.050725
6543	DS10_00007150	Dsuz	0.2241	0.4569	0.1212	0.4457	0.223	0.32	0.553	29.28125	0.712	0.571	132	140	0.037857	0.085714
6544	DS10_00007151	Dsuz	0.2756	0.3929	0.1723	0.4263	0.272	0.256	0.52	28.09375	0.642	0.59	667	688	-0.67718	0.0625
6545	DS10_00007157	Dsuz	0.1903	0.4477	0.1696	0.458	0.228	0.329	0.565	24.40625	0.709	0.569	1225	1272	-0.427516	0.089623
6546	DS10_00007159	Dsuz	0.1522	0.4883	0.193	0.3848	0.245	0.312	0.544	22.75	0.712	0.605	715	730	-0.602329	0.043836
6547	DS10_00007161	Dsuz	0.1867	0.5	0.148	0.4306	0.28	0.376	0.602	23.890625	0.73	0.571	397	420	-0.443333	0.090476
6548	DS10_00007163	Dsuz	0.2202	0.3807	0.2332	0.4413	0.252	0.206	0.495	35.6875	0.64	0.58	653	671	-0.623845	0.04918
6549	DS10_00007165	Dsuz	0.2098	0.4605	0.1507	0.4932	0.276	0.332	0.578	26.09375	0.72	0.567	920	952	-0.480672	0.093487
6550	DS10_00007166	Dsuz	0.137	0.5389	0.1262	0.5122	0.318	0.416	0.628	16.40625	0.796	0.605	681	708	-0.598305	0.05791
6551	DS10_00007170	Dsuz	0.1938	0.475	0.1818	0.4397	0.269	0.329	0.582	33.4375	0.698	0.504	182	205	0.638049	0.180488
6552	DS10_00007173	Dsuz	0.2986	0.4027	0.2152	0.3926	0.23	0.174	0.482	32.1875	0.595	0.504	529	566	-0.309364	0.121908
6553	DS10_00007179	Dsuz	0.1967	0.4057	0.1376	0.5011	0.226	0.321	0.556	24.609375	0.726	0.58	595	613	-0.397227	0.070147
6554	DS10_00007183	Dsuz	0.1426	0.5157	0.1285	0.4627	0.285	0.433	0.631	15.5625	0.778	0.583	555	571	-0.251664	0.061296
6555	DS10_00007187	Dsuz	0.2642	0.3955	0.2691	0.3674	0.273	0.179	0.487	33.828125	0.584	0.512	831	834	-0.686691	0.047962
6556	DS10_00007189	Dsuz	0.1917	0.3658	0.1929	0.4523	0.187	0.181	0.454	33.671875	0.676	0.599	401	418	-0.359091	0.064593
6557	DS10_00007197	Dsuz	0.1693	0.3898	0.1358	0.5198	0.184	0.244	0.498	24.09375	0.744	0.636	309	313	-0.669649	0.038339
6558	DS10_00007212	Dsuz	0.2806	0.4	0.2295	0.3581	0.226	0.149	0.454	40.046875	0.59	0.509	731	766	-0.192428	0.101828
6559	DS10_00007220	Dsuz	0.1671	0.4875	0.1059	0.4844	0.278	0.418	0.624	14.328125	0.775	0.596	426	445	-0.129888	0.083146
6560	DS10_00007226	Dsuz	0.2559	0.3916	0.2471	0.3386	0.251	0.139	0.432	35.53125	0.586	0.53	440	453	-0.503091	0.041943
6561	DS10_00007228	Dsuz	0.1875	0.4821	0.2525	0.3636	0.2	0.184	0.477	38.9375	0.652	0.516	132	142	-0.498591	0.084507
6562	DS10_00007230	Dsuz	0.1964	0.4073	0.207	0.4647	0.233	0.236	0.508	31.84375	0.677	0.56	331	339	-0.279351	0.100295
6563	DS10_00007232	Dsuz	0.2971	0.3741	0.2284	0.3515	0.259	0.213	0.499	34.265625	0.572	0.54	547	552	-0.627718	0.039855
6564	DS10_00007233	Dsuz	0.2727	0.3909	0.2458	0.3808	0.201	0.167	0.468	40.46875	0.59	0.498	541	558	-0.240681	0.087814
6565	DS10_00007234	Dsuz	0.2349	0.4377	0.2044	0.3475	0.238	0.213	0.487	30.03125	0.636	0.568	335	350	-0.503429	0.054286
6566	DS10_00007236	Dsuz	0.235	0.4808	0.1767	0.42	0.283	0.376	0.61	26.609375	0.681	0.581	1132	1164	-1.11323	0.058419
6567	DS10_00007237	Dsuz	0.2287	0.4149	0.2493	0.3889	0.222	0.192	0.488	44.046875	0.623	0.525	453	475	-0.586737	0.107368
6568	DS10_00007239	Dsuz	0.2632	0.4125	0.2265	0.3741	0.25	0.182	0.473	38.484375	0.612	0.543	922	957	-0.897492	0.0721
6569	DS10_00007243	Dsuz	0.2171	0.4504	0.2108	0.462	0.248	0.287	0.556	32.390625	0.671	0.514	1030	1079	-0.267099	0.113994
6570	DS10_00007244	Dsuz	0.249	0.3843	0.2824	0.3696	0.22	0.13	0.445	31.125	0.582	0.561	658	699	-1.361373	0.052933
6571	DS10_00007247	Dsuz	0.2017	0.5042	0.1304	0.5	0.28	0.373	0.608	19.296875	0.745	0.562	153	160	-0.59125	0.1
6572	DS10_00007248	Dsuz	0.2458	0.3958	0.1871	0.4224	0.21	0.21	0.484	33.515625	0.647	0.556	580	599	-0.258097	0.055092
6573	DS10_00007249	Dsuz	0.2078	0.462	0.1695	0.4849	0.26	0.327	0.577	26.34375	0.708	0.555	1072	1109	-0.324797	0.050496
6574	DS10_00007253	Dsuz	0.2811	0.3318	0.306	0.3464	0.194	0.077	0.406	43.296875	0.526	0.484	764	792	-0.318434	0.070707
6575	DS10_00007254	Dsuz	0.2646	0.3892	0.1981	0.3827	0.216	0.147	0.442	39.8125	0.62	0.564	1082	1105	-1.052308	0.051584
6576	DS10_00007257	Dsuz	0.2247	0.4164	0.1977	0.3735	0.221	0.25	0.508	31.5	0.646	0.564	427	436	-0.092202	0.066514
6577	DS10_00007260	Dsuz	0.2236	0.476	0.165	0.3993	0.268	0.369	0.596	21.359375	0.688	0.57	384	396	-0.532071	0.035354
6578	DS10_00007268	Dsuz	0.2027	0.4122	0.2258	0.4944	0.241	0.271	0.55	34.4375	0.676	0.542	222	232	-1.042241	0.051724
6579	DS10_00007269	Dsuz	0.3395	0.3103	0.3977	0.2828	0.226	-0.063	0.339	42.46875	0.435	0.412	1010	1034	-0.588491	0.06383
6580	DS10_00007271	Dsuz	0.178	0.466	0.1739	0.4331	0.229	0.252	0.507	35.890625	0.717	0.612	219	224	-0.794643	0.0625
6581	DS10_00007272	Dsuz	0.3774	0.2692	0.4057	0.2178	0.175	-0.13	0.28	40.71875	0.374	0.404	979	1011	-0.160831	0.108803
6582	DS10_00007273	Dsuz	0.3212	0.2788	0.4073	0.2261	0.181	-0.052	0.301	39.1875	0.405	0.455	385	405	-0.478025	0.066667
6583	DS10_00007275	Dsuz	0.3003	0.3577	0.2573	0.3794	0.244	0.113	0.441	43.4375	0.557	0.471	458	481	-0.031185	0.112266
6584	DS10_00007276	Dsuz	0.2428	0.3964	0.198	0.3379	0.229	0.175	0.435	34.890625	0.621	0.577	1500	1541	-0.31843	0.04218
6585	DS10_00007278	Dsuz	0.218	0.3835	0.1852	0.4444	0.216	0.241	0.5	36.65625	0.66	0.539	144	154	0.257792	0.136364
6586	DS10_00007280	Dsuz	0.1346	0.4615	0.2281	0.4286	0.248	0.316	0.574	22.40625	0.706	0.535	68	71	-0.349296	0.028169
6587	DS10_00007284	Dsuz	0.1981	0.4718	0.1497	0.4917	0.285	0.346	0.593	25.5625	0.725	0.545	621	644	-0.162733	0.099379
6588	DS10_00007285	Dsuz	0.2209	0.4351	0.1969	0.3955	0.236	0.24	0.504	32.640625	0.661	0.553	1438	1492	-0.310121	0.093164
6589	DS10_00007286	Dsuz	0.2368	0.344	0.2802	0.4555	0.211	0.126	0.445	42.859375	0.603	0.506	813	839	-0.857569	0.030989
6590	DS10_00007287	Dsuz	0.359	0.2051	0.4146	0.3077	0.228	-0.159	0.275	27.625	0.392	0.429	102	105	-0.701905	0.047619
6591	DS10_00007289	Dsuz	0.1636	0.5273	0.1808	0.3385	0.274	0.337	0.567	25.5625	0.718	0.587	365	376	-0.494681	0.066489
6592	DS10_00007290	Dsuz	0.2153	0.4211	0.1842	0.4483	0.211	0.268	0.533	34.140625	0.675	0.573	246	254	-0.343701	0.055118
6593	DS10_00007292	Dsuz	0.3319	0.306	0.2969	0.2711	0.183	0.004	0.348	34.828125	0.464	0.448	250	270	1.041111	0.140741
6594	DS10_00007295	Dsuz	0.188	0.4421	0.1631	0.4418	0.216	0.299	0.539	25.5625	0.71	0.587	1606	1630	-0.669939	0.042331
6595	DS10_00007297	Dsuz	0.1876	0.4551	0.139	0.44	0.232	0.355	0.576	22.21875	0.726	0.588	587	605	-0.002479	0.057851
6596	DS10_00007301	Dsuz	0.2098	0.4366	0.1396	0.4454	0.217	0.295	0.539	25.515625	0.709	0.573	965	991	-0.236125	0.051463
6597	DS10_00007302	Dsuz	0.2148	0.4046	0.1744	0.4438	0.24	0.311	0.55	26.109375	0.682	0.58	1141	1177	-0.604673	0.023789
6598	DS10_00007319	Dsuz	0.3051	0.3686	0.24	0.3589	0.233	0.133	0.448	42.53125	0.562	0.512	288	304	-0.313816	0.098684
6599	DS10_00007326	Dsuz	0.2296	0.4137	0.2376	0.3941	0.267	0.168	0.464	31.09375	0.63	0.552	743	756	-0.855688	0.047619
6600	DS10_00007329	Dsuz	0.1574	0.5499	0.1322	0.4038	0.333	0.417	0.626	17.53125	0.762	0.599	521	536	-0.304104	0.06903
6601	DS10_00007333	Dsuz	0.2679	0.3849	0.2659	0.3887	0.271	0.205	0.5	39.265625	0.582	0.521	340	352	-0.38125	0.088068
6602	DS10_00007334	Dsuz	0.1917	0.4181	0.1811	0.4412	0.247	0.277	0.52	27.140625	0.694	0.602	1597	1630	-0.793252	0.033129
6603	DS10_00007336	Dsuz	0.2551	0.4434	0.2444	0.3914	0.256	0.194	0.498	31.375	0.618	0.492	893	935	-0.288556	0.125134
6604	DS10_00007360	Dsuz	0.2254	0.4303	0.1351	0.4538	0.259	0.311	0.545	24.890625	0.708	0.599	308	323	-0.826006	0.06192
6605	DS10_00007371	Dsuz	0.1132	0.5175	0.1358	0.4885	0.272	0.438	0.63	11.265625	0.798	0.606	481	503	-0.679722	0.047714
6606	DS10_00007373	Dsuz	0.2701	0.5287	0.2214	0.2969	0.265	0.275	0.553	33.09375	0.625	0.515	208	211	-0.735545	0.099526
6607	DS10_00007375	Dsuz	0.2225	0.4104	0.197	0.4774	0.239	0.251	0.523	34.140625	0.671	0.53	432	444	-0.380631	0.072072
6608	DS10_00007379	Dsuz	0.2088	0.4343	0.1947	0.3946	0.228	0.291	0.539	30.5625	0.664	0.548	673	699	0.19485	0.097282
6609	DS10_00007392	Dsuz	0.2816	0.3659	0.2559	0.3826	0.232	0.141	0.453	39.4375	0.571	0.5	742	762	-0.266404	0.062992
6610	DS10_00007396	Dsuz	0.1728	0.5247	0.1412	0.3937	0.252	0.392	0.6	23.5625	0.74	0.596	200	204	-0.748529	0.058824
6611	DS10_00007399	Dsuz	0.1719	0.5272	0.1148	0.4466	0.26	0.395	0.607	21.40625	0.767	0.567	420	429	-0.164569	0.060606
6612	DS10_00007403	Dsuz	0.1962	0.4367	0.2121	0.3797	0.201	0.217	0.477	36.21875	0.662	0.553	195	203	-0.632512	0.059113
6613	DS10_00007404	Dsuz	0.2997	0.3468	0.4135	0.2923	0.271	-0.036	0.358	41.703125	0.459	0.422	447	466	-1.187768	0.032189
6614	DS10_00007405	Dsuz	0.2182	0.3273	0.3051	0.375	0.13	0.055	0.377	47.09375	0.565	0.54	69	71	-1.284507	0.042254
6615	DS10_00007407	Dsuz	0.1915	0.5014	0.1858	0.38	0.247	0.299	0.552	27.859375	0.695	0.556	420	441	-0.236054	0.086168
6616	DS10_00007459	Dsuz	0.2239	0.4527	0.0781	0.4914	0.276	0.396	0.603	19.921875	0.747	0.579	237	246	-0.071951	0.04065
6617	DS10_00007463	Dsuz	0.1824	0.5094	0.1637	0.4348	0.219	0.335	0.577	28.03125	0.726	0.56	208	213	-0.55493	0.070423
6618	DS10_00007469	Dsuz	0.0558	0.6214	0.0489	0.5153	0.29	0.589	0.73	3.4375	0.914	0.655	764	783	-0.33461	0.06258
6619	DS10_00007474	Dsuz	0.2686	0.411	0.2646	0.3992	0.244	0.162	0.48	41.296875	0.597	0.481	375	394	-0.427411	0.14467
6620	DS10_00007475	Dsuz	0.3011	0.3346	0.2629	0.3376	0.224	0.06	0.386	42.453125	0.535	0.511	316	332	-0.108133	0.066265
6621	DS10_00007477	Dsuz	0.1452	0.5	0.1286	0.4668	0.228	0.378	0.595	21.640625	0.777	0.598	573	592	-0.28277	0.099662
6622	DS10_00007478	Dsuz	0.2368	0.4079	0.3486	0.4175	0.247	0.142	0.492	47.09375	0.569	0.514	130	135	-1.502963	0.02963
6623	DS10_00007480	Dsuz	0.2177	0.4082	0.1915	0.483	0.25	0.303	0.559	27.25	0.681	0.555	213	227	-0.760793	0.022026
6624	DS10_00007481	Dsuz	0.2839	0.362	0.2318	0.3961	0.215	0.139	0.452	37.875	0.585	0.524	1065	1095	-0.292785	0.076712
6625	DS10_00007483	Dsuz	0.3002	0.3409	0.3379	0.3062	0.226	0.066	0.401	42.0625	0.497	0.499	561	577	-0.879376	0.05026
6626	DS10_00007484	Dsuz	0.3193	0.3256	0.2886	0.3259	0.22	0.068	0.398	46.15625	0.512	0.534	1203	1245	-1.201365	0.045783
6627	DS10_00007486	Dsuz	0.2751	0.3865	0.2091	0.3171	0.209	0.147	0.423	37.59375	0.585	0.53	525	549	-0.148452	0.045537
6628	DS10_00007488	Dsuz	0.089	0.6027	0.0714	0.5414	0.331	0.585	0.738	3.171875	0.874	0.63	183	192	-0.816146	0.088542
6629	DS10_00007507	Dsuz	0.3099	0.3534	0.3017	0.3127	0.241	0.078	0.409	42.515625	0.514	0.492	1410	1435	-0.710871	0.044599
6630	DS10_00007509	Dsuz	0.2574	0.3531	0.2945	0.3741	0.231	0.123	0.439	44.5	0.56	0.507	561	581	-0.41136	0.070568
6631	DS10_00007510	Dsuz	0.2563	0.3936	0.1709	0.4853	0.291	0.287	0.547	30.71875	0.665	0.529	775	782	-0.333376	0.057545
6632	DS10_00007513	Dsuz	0.1292	0.5393	0.1543	0.4935	0.279	0.432	0.644	19.65625	0.775	0.551	222	236	-0.047458	0.080508
6633	DS10_00007518	Dsuz	0.1956	0.434	0.2016	0.3589	0.244	0.207	0.461	31.203125	0.664	0.591	1745	1783	-0.688166	0.025799
6634	DS10_00007521	Dsuz	0.284	0.4125	0.1864	0.3971	0.251	0.232	0.512	30.046875	0.621	0.514	301	316	-0.192405	0.129747
6635	DS10_00007523	Dsuz	0.2174	0.4831	0.1556	0.4171	0.237	0.217	0.492	22.140625	0.703	0.585	246	258	-1.074419	0.096899
6636	DS10_00007526	Dsuz	0.2603	0.438	0.2143	0.4169	0.282	0.231	0.524	34.59375	0.632	0.519	1006	1041	-0.598559	0.07877
6637	DS10_00007527	Dsuz	0.2691	0.451	0.2061	0.3988	0.269	0.278	0.545	29.8125	0.636	0.536	881	907	-1.019956	0.049614
6638	DS10_00007528	Dsuz	0.209	0.4633	0.1648	0.4783	0.286	0.349	0.587	31.9375	0.707	0.545	225	232	-0.435776	0.090517
6639	DS10_00007529	Dsuz	0.2184	0.4418	0.2142	0.3882	0.27	0.247	0.515	25.71875	0.652	0.569	1719	1761	-0.708575	0.048268
6640	DS10_00007530	Dsuz	0.2346	0.4506	0.1667	0.453	0.305	0.303	0.556	28.3125	0.684	0.56	595	612	-0.702614	0.070261
6641	DS10_00007533	Dsuz	0.2721	0.3897	0.2899	0.3876	0.216	0.138	0.467	47.09375	0.572	0.529	180	184	-0.795652	0.076087
6642	DS10_00007539	Dsuz	0.1655	0.4532	0.1667	0.4224	0.232	0.282	0.532	23.5625	0.718	0.572	156	169	0.539053	0.118343
6643	DS10_00007556	Dsuz	0.297	0.4208	0.2634	0.3107	0.296	0.16	0.466	37.40625	0.562	0.493	249	256	-0.741797	0.074219
